Title,Authors,Publisher,PublishedDate,ISBN,PageCount,Categories,AverageRating,RatingsCount,Language,Language_en,Language_es,TitleWordCount
The Theory of H(b) Spaces: Volume 2,"Emmanuel Fricain, Javad Mashreghi",Cambridge University Press,2016-10-20,9781316351925.0,641.0,Mathematics,5.0,1.0,en,1.0,0.0,7
The Story of B,Daniel Quinn,Bantam,2010-01-13,9780307575234.0,350.0,Fiction,4.5,16.0,en,1.0,0.0,4
So B. It,Sarah Weeks,Zondervan,2009-10-20,9780061978777.0,276.0,Juvenile Fiction,2.0,3.0,en,1.0,0.0,3
"Ramble Book: Musings on Childhood, Friendship, Family and 80s Pop Culture",Adam Buxton,HarperCollins UK,2020-09-03,9780008293352.0,348.0,Biography & Autobiography,5.0,1.0,en,1.0,0.0,11
Jumping the Scratch,Sarah Weeks,Harper Collins,2009-10-20,9780061978791.0,196.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,3
"""B"" Is for Betsy",Carolyn Haywood,HarperCollins,2004-05-01,9780547671338.0,147.0,Juvenile Fiction,4.0,3.0,en,1.0,0.0,4
"Foundation:B-boys, B-girls and Hip-Hop Culture in New York",Joseph G. Schloss,"Oxford University Press, USA",2009-03-05,9780195334050.0,192.0,Performing Arts,5.0,1.0,en,1.0,0.0,8
Holy Bible (NIV),"Various Authors,",Zondervan,2008-09-02,9780310294146.0,6793.0,Bibles,5.0,2.0,en,1.0,0.0,3
Plan B,Pete Wilson,Grupo Nelson,2011-05-30,9781418584672.0,257.0,Religion,4.5,11.0,en,1.0,0.0,2
B is for Baller,James Littlejohn,Triumph Books,2018-10-02,9781641251068.0,34.0,Juvenile Nonfiction,5.0,1.0,en,1.0,0.0,4
Thinking in C++,Bruce Eckel,Pearson,2000-01-01,9780139798092.0,834.0,Computers,4.5,18.0,en,1.0,0.0,3
Originals,Adam Grant,Penguin,2017-02-07,9780143128854.0,353.0,Business & Economics,3.0,1.0,en,1.0,0.0,1
Lean In,Sheryl Sandberg,Knopf,2013-03-11,9780385349956.0,241.0,Biography & Autobiography,4.0,10.0,en,1.0,0.0,2
Soof,Sarah Weeks,Scholastic Inc.,2018-10-09,9780545846691.0,113.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,1
Apollo's Angels,Jennifer Homans,Random House,2010-11-02,9780679603900.0,640.0,Performing Arts,5.0,1.0,en,1.0,0.0,2
The Unspoken Name,A. K. Larkwood,Tor Books,2020-02-11,9781250238917.0,442.0,Fiction,5.0,1.0,en,1.0,0.0,3
Reluctant Capitalists,Laura J. Miller,University of Chicago Press,2008-09-15,9780226525921.0,328.0,Social Science,5.0,1.0,en,1.0,0.0,2
Stellaluna,Janell Cannon,Houghton Mifflin Harcourt,2007-01-01,9780152062873.0,44.0,Juvenile Nonfiction,4.5,4.0,en,1.0,0.0,1
Beastly: Lindy's Diary,Alex Flinn,Harper Collins,2012-01-31,9780062117427.0,341.0,Young Adult Fiction,5.0,1.0,en,1.0,0.0,3
Goodnight Moon,Margaret Wise Brown,HarperCollins,2016-11-08,9780062662897.0,34.0,Juvenile Fiction,3.5,2.0,en,1.0,0.0,2
The Sun Is Also a Star,Nicola Yoon,Penguin,2016-11-01,9780385683692.0,240.0,Young Adult Fiction,4.5,2.0,en,1.0,0.0,6
Alfred's Basic Adult Piano Course,"Willard A. Palmer, Morton Manus, Amanda Vick Lethco",Alfred Music Publishing,,9780739010037.0,100.0,Music,4.0,1.0,en,1.0,0.0,5
Big Red Barn Board Book,Margaret Wise Brown,Harper Collins,1995-01-06,9780694006243.0,33.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,5
The Invention of Hugo Cabret,Brian Selznick,Scholastic,2015-09-03,9781407166575.0,264.0,Juvenile Fiction,4.0,5.0,en,1.0,0.0,5
So B. It,Sarah Weeks,Harper Collins,2005-10-04,9780064410472.0,276.0,Juvenile Fiction,4.5,48.0,en,1.0,0.0,3
The Very Hungry Caterpillar,Eric Carle,Penguin,2016-11-22,9781524739553.0,30.0,Juvenile Fiction,4.0,3.0,en,1.0,0.0,4
Give and Take,Adam Grant,Penguin,2014-03-25,9780143124986.0,321.0,Business & Economics,5.0,1.0,en,1.0,0.0,3
The Plotters,Un-su Kim,Anchor,2019-01-29,9780385544399.0,270.0,Fiction,4.5,2.0,en,1.0,0.0,2
The Type,Sarah Kay,Hachette Books,2016-02-09,9780316386616.0,51.0,Poetry,5.0,1.0,en,1.0,0.0,2
The Well,Catherine Chanter,Canongate Books,2015-03-05,9781782114659.0,410.0,Fiction,5.0,1.0,en,1.0,0.0,2
Back to Blood,Tom Wolfe,"Little, Brown",2012-10-23,9780316214582.0,407.0,Fiction,2.5,4.0,en,1.0,0.0,3
Sundial,Catriona Ward,Tor Nightfire,2022-03-01,9781250812698.0,286.0,Fiction,4.0,1.0,en,1.0,0.0,1
The Doughnut Fix,Jessie Janowitz,"Sourcebooks, Inc.",2018-04-03,9781492655428.0,258.0,Juvenile Fiction,5.0,3.0,en,1.0,0.0,3
HT THINK LIKE A COMPUTER SCIEN,"Jeffrey Elkner, Allen B. Downey, Chris Meyers",Samurai Media Limited,2016-10-04,9789888406784.0,306.0,Computers,5.0,1.0,en,1.0,0.0,6
Birth of a Killer,Darren Shan,"Little, Brown Books for Young Readers",2010-10-05,9780316129145.0,129.0,Young Adult Fiction,3.5,13.0,en,1.0,0.0,4
The Story of B,Daniel Quinn,Bantam,1997-01-01,9780553379013.0,325.0,Fiction,4.0,1.0,en,1.0,0.0,4
Peace Process,William B. Quandt,Univ of California Press,2005-01-01,9780520246317.0,558.0,History,5.0,1.0,en,1.0,0.0,2
The Authorized Left Behind Handbook,"Tim LaHaye, Jerry B. Jenkins, Sandi Swanson","Tyndale House Publishers, Inc.",2005-01-01,9780842354400.0,350.0,Fiction,5.0,2.0,en,1.0,0.0,5
